Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ru	Pd	Ag	Ta	Ir	Pt
Spectrum 1 {57}	Yes	27.03	-32.219	0	56.91	7.67	12.9	4.43	0.97	11.1	6.02

Spectrum 1 {58}	Yes	31.53	-32.219	0	57.25	7.45	13.19	4.57	0.66	10.82	6.05

Spectrum 1 {59}	Yes	36.029	-32.219	0	58.02	6.86	13.95	4.15	0	10.66	6.36

Spectrum 1 {60}	Yes	40.529	-32.219	68.43	31.57	0	0	0	0	0	0

Spectrum 1 {61}	Yes	45.03	-32.219	62.1	37.9	0	0	0	0	0	0

--	--	-44.959	-27.717	--	--	--	--	--	--	--	--

Spectrum 1 {62}	Yes	-40.458	-27.717	2.86	55.74	15.26	5.15	6.93	1.45	9.04	3.57

Spectrum 1 {63}	Yes	-35.961	-27.717	3.38	54.9	14.69	5.29	6.84	1.77	9.24	3.9

Spectrum 1 {64}	Yes	-31.46	-27.717	3.85	53.85	13.95	6.03	6.89	2.13	9.37	3.94

Spectrum 1 {65}	Yes	-26.96	-27.717	0	56.47	13.81	6.28	7.11	1.89	10.23	4.2

Spectrum 1 {66}	Yes	-22.459	-27.717	3.03	54.42	12.87	6.59	6.87	1.77	10.2	4.25

Spectrum 1 {67}	Yes	-17.96	-27.717	2.42	55.28	12.29	7	6.34	1.89	10.31	4.47

Spectrum 1 {68}	Yes	-13.459	-27.717	2.74	54.08	11.88	7.79	6.4	2.06	10.36	4.68

Spectrum 1 {69}	Yes	-8.959	-27.717	5.73	53.14	11.08	7.47	6.07	1.67	10.44	4.4

Spectrum 1 {70}	Yes	-4.458	-27.717	2.76	54.69	10.95	8.32	5.87	1.62	10.85	4.93

Spectrum 1 {71}	Yes	0.03	-27.717	3.63	53.72	10.13	9.15	5.66	1.98	10.64	5.1

Spectrum 1 {72}	Yes	4.53	-27.717	2.88	54.66	9.7	9.38	5.49	1.67	10.85	5.37

Spectrum 1 {73}	Yes	9.028	-27.717	3.45	53.54	9.42	9.66	5.72	1.96	10.89	5.35

Spectrum 1 {74}	Yes	13.529	-27.717	3.07	54.51	8.69	10.62	5.58	1.36	10.72	5.45

Spectrum 1 {75}	Yes	18.029	-27.717	2.48	55.05	8.31	11.1	5.08	1.39	10.85	5.73

Spectrum 1 {76}	Yes	22.531	-27.717	0	56.23	8.22	12.18	5.28	1.11	10.95	6.03

Spectrum 1 {77}	Yes	27.029	-27.717	2.98	54.81	7.45	12.39	4.89	1.04	10.35	6.09

Spectrum 1 {78}	Yes	31.53	-27.717	0	57.17	7.14	13.16	4.9	0.82	10.59	6.23

Spectrum 1 {79}	Yes	36.028	-27.717	2.7	55.14	6.71	13.7	4.5	1.05	9.91	6.28

Spectrum 1 {80}	Yes	40.53	-27.717	2.75	55.56	6.52	14.6	4.07	0.52	9.54	6.44

Spectrum 1 {81}	Yes	45.03	-27.717	61.3	38.7	0	0	0	0	0	0

--	--	-44.959	-23.217	--	--	--	--	--	--	--	--

Spectrum 1 {82}	Yes	-40.459	-23.217	3.47	55.08	14.93	5.19	7.42	1.85	8.26	3.81

Spectrum 1 {83}	Yes	-35.962	-23.217	3.26	54.95	14.52	5.5	7.55	1.74	8.5	3.98

Spectrum 1 {84}	Yes	-31.461	-23.217	4.2	54.47	13.58	5.66	7.39	1.87	8.82	4

Spectrum 1 {85}	Yes	-26.96	-23.217	3.08	54.68	13.45	6.21	7.25	1.84	9.27	4.22

Spectrum 1 {86}	Yes	-22.458	-23.217	4.19	53.53	12.8	6.74	7	2.07	9.34	4.33

Spectrum 1 {87}	Yes	-17.959	-23.217	3.44	54.92	12.01	6.81	6.94	1.66	9.61	4.61

Spectrum 1 {88}	Yes	-13.459	-23.217	3.57	53.71	11.51	7.88	6.67	2.06	9.76	4.83

Spectrum 1 {89}	Yes	-8.96	-23.217	0	55.93	11.82	8.11	6.79	1.86	10.48	5.02

Spectrum 1 {90}	Yes	-4.458	-23.217	2.84	54.24	10.62	8.75	6.37	1.88	10.19	5.11

Spectrum 1 {91}	Yes	0.029	-23.217	2.62	53.79	10.33	9.27	6.63	1.85	10.11	5.4

Spectrum 1 {92}	Yes	4.528	-23.217	2.81	53.79	9.65	9.8	6.13	1.99	10.43	5.39

Spectrum 1 {93}	Yes	9.029	-23.217	0	55.79	9.61	10.31	6.07	1.75	10.61	5.86

Spectrum 1 {94}	Yes	13.529	-23.217	0	55.85	9	11.34	5.88	1.64	10.58	5.72

Spectrum 1 {95}	Yes	18.031	-23.217	2.92	54.17	8.25	11.22	5.44	1.82	10.27	5.91

Spectrum 1 {96}	Yes	22.53	-23.217	0	55.27	8.26	12.21	5.68	1.68	10.71	6.18

Spectrum 1 {97}	Yes	27.03	-23.217	4.21	53.44	7.31	12.16	5.24	1.58	9.86	6.21

Spectrum 1 {98}	Yes	31.53	-23.217	2.83	55.13	7.03	12.82	4.89	1.12	9.82	6.37

Spectrum 1 {99}	Yes	36.03	-23.217	0	56.73	6.88	14.06	4.91	0.99	9.73	6.7

Spectrum 1 {100}	Yes	40.53	-23.217	3.49	54.53	6.05	14.44	4.61	1.1	9.24	6.54

Spectrum 1 {101}	Yes	45.031	-23.217	61.04	38.96	0	0	0	0	0	0

--	--	-44.959	-18.716	--	--	--	--	--	--	--	--

Spectrum 1 {102}	Yes	-40.458	-18.716	0	56.99	15.23	5.31	8.43	1.87	8.15	4.02

Spectrum 1 {103}	Yes	-35.96	-18.716	3.2	54.27	14.6	5.31	7.97	2.13	8.19	4.32

Spectrum 1 {104}	Yes	-31.462	-18.716	3.59	54.59	13.67	6.03	7.74	1.76	8.45	4.18

Spectrum 1 {105}	Yes	-26.961	-18.716	4.39	53.57	12.88	6.21	7.59	2.19	8.75	4.42

Spectrum 1 {106}	Yes	-22.46	-18.716	4.96	53.03	12.55	6.56	7.56	1.95	8.76	4.63

Spectrum 1 {107}	Yes	-17.96	-18.716	3.53	54.5	11.88	7.25	7.3	1.89	8.97	4.68

Spectrum 1 {108}	Yes	-13.46	-18.716	4.12	53.83	11.52	7.12	7.27	1.89	9.29	4.96

Spectrum 1 {109}	Yes	-8.96	-18.716	2.57	54.52	11.26	7.76	7.11	2.08	9.59	5.11

Spectrum 1 {110}	Yes	-4.458	-18.716	3.88	53.91	10.37	8.34	6.84	1.77	9.67	5.22

Spectrum 1 {111}	Yes	0.028	-18.716	3.68	53.58	9.9	8.94	6.7	2.04	9.71	5.46

Spectrum 1 {112}	Yes	4.529	-18.716	3.35	54.05	9.46	9.29	6.54	1.88	9.87	5.55

Spectrum 1 {113}	Yes	9.028	-18.716	2.78	54.04	9.31	9.86	6.23	1.96	10.01	5.82

Spectrum 1 {114}	Yes	13.529	-18.716	2.62	54.23	8.76	10.72	6.06	1.74	9.87	5.99

Spectrum 1 {115}	Yes	18.03	-18.716	3.88	53.42	8.46	10.88	6.13	1.54	9.54	6.16

Spectrum 1 {116}	Yes	22.53	-18.716	0	55.82	8.08	12.02	5.88	1.53	10.19	6.47

Spectrum 1 {117}	Yes	27.03	-18.716	0	55.4	7.66	12.83	5.87	1.76	9.74	6.74

Spectrum 1 {118}	Yes	31.53	-18.716	3.53	53.92	7.1	13.17	5.47	1.09	9.24	6.48

Spectrum 1 {119}	Yes	36.03	-18.716	3.54	53.62	6.7	13.4	5.19	1.58	9.09	6.87

Spectrum 1 {120}	Yes	40.53	-18.716	2.57	55.07	6.35	14.37	4.44	1.28	8.93	6.98

