Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ru	Pd	Ag	Ta	Ir	Pt
Spectrum 1 {238}	Yes	31.53	8.274	0	55.27	6.65	12.58	7.57	1.8	7.15	8.98

Spectrum 1 {239}	Yes	36.028	8.274	2.98	54.05	6.38	12.22	6.95	1.66	6.79	8.97

Spectrum 1 {240}	Yes	40.53	8.274	3.96	53.1	6.2	12.83	6.53	1.79	6.73	8.85

Spectrum 1 {241}	Yes	45.031	8.274	0	55.56	5.85	13.95	6.21	2.06	6.95	9.42

--	--	-44.959	12.771	--	--	--	--	--	--	--	--

Spectrum 1 {242}	Yes	-40.458	12.771	5.4	52.23	12.74	4.87	12.6	1.84	5.35	4.97

Spectrum 1 {243}	Yes	-35.96	12.771	3.7	52.8	12.83	5.34	12.73	1.84	5.51	5.25

Spectrum 1 {244}	Yes	-31.46	12.771	3.2	52.96	12.38	5.27	12.71	2.1	5.8	5.58

Spectrum 1 {245}	Yes	-26.96	12.771	3.25	53.31	11.64	5.81	12.29	1.94	6	5.77

Spectrum 1 {246}	Yes	-22.46	12.771	4	52.92	11.27	6.07	11.77	2.07	5.99	5.9

Spectrum 1 {247}	Yes	-17.96	12.771	3.8	52.89	10.67	6.49	11.63	2.06	6.18	6.27

Spectrum 1 {248}	Yes	-13.459	12.771	0	55.33	10.75	7.1	11.55	2.02	6.51	6.75

Spectrum 1 {249}	Yes	-8.96	12.771	2.66	53.97	10.23	7.35	10.75	1.7	6.6	6.75

Spectrum 1 {250}	Yes	-4.459	12.771	3.51	53.21	9.46	7.84	10.49	1.87	6.64	6.97

Spectrum 1 {251}	Yes	0.029	12.771	4.26	52.58	9.05	8.23	10.04	1.99	6.51	7.34

Spectrum 1 {252}	Yes	4.529	12.771	0	55.23	9.16	8.74	10.22	1.89	7.02	7.74

Spectrum 1 {253}	Yes	9.029	12.771	0	54.85	8.71	9.32	9.7	2.2	7.02	8.19

Spectrum 1 {254}	Yes	13.529	12.771	3.16	54.23	8	9.46	8.7	1.52	6.9	8.04

Spectrum 1 {255}	Yes	18.029	12.771	3.7	52.86	7.76	9.89	8.47	2.16	6.84	8.31

Spectrum 1 {256}	Yes	22.529	12.771	4.13	53.02	7.12	10.32	8.08	2.2	6.69	8.44

Spectrum 1 {257}	Yes	27.029	12.771	2.75	53.84	6.86	10.83	8.11	1.9	6.85	8.85

Spectrum 1 {258}	Yes	31.531	12.771	0	54.89	7.2	11.99	7.69	2.01	6.97	9.24

Spectrum 1 {259}	Yes	36.028	12.771	3.56	53.86	6.33	11.74	6.99	1.73	6.53	9.26

Spectrum 1 {260}	Yes	40.528	12.771	0	55.35	6.14	13	6.93	2.06	6.8	9.72

Spectrum 1 {261}	Yes	45.03	12.771	2.53	54.57	5.54	12.96	6.73	1.86	6.25	9.56

--	--	-44.959	17.272	--	--	--	--	--	--	--	--

Spectrum 1 {262}	Yes	-40.456	17.272	0	55.38	13.02	5.09	14.22	1.7	5.28	5.31

Spectrum 1 {263}	Yes	-35.96	17.272	4.97	52.74	11.91	4.81	13.19	1.8	5.2	5.37

Spectrum 1 {264}	Yes	-31.46	17.272	4.52	52.28	11.72	5.25	13.25	1.91	5.44	5.63

Spectrum 1 {265}	Yes	-26.961	17.272	3.89	52.67	11.54	5.59	12.83	1.98	5.63	5.86

Spectrum 1 {266}	Yes	-22.459	17.272	0	55.08	11.27	6.32	13.01	1.9	5.94	6.48

Spectrum 1 {267}	Yes	-17.96	17.272	3.35	52.85	10.42	6.3	12.29	2.23	6.03	6.54

Spectrum 1 {268}	Yes	-13.46	17.272	4.08	52.96	9.97	7.08	11.66	1.59	6.16	6.51

Spectrum 1 {269}	Yes	-8.96	17.272	4.65	52.6	9.54	7.1	11.43	1.89	5.98	6.81

Spectrum 1 {270}	Yes	-4.459	17.272	4.25	52.74	9.19	7.58	11.01	1.99	6.09	7.15

Spectrum 1 {271}	Yes	0.028	17.272	3.44	53.58	8.94	7.95	10.54	1.72	6.39	7.43

Spectrum 1 {272}	Yes	4.529	17.272	3.56	52.92	8.64	8.21	10.02	2.26	6.42	7.96

Spectrum 1 {273}	Yes	9.029	17.272	4.65	52.29	8.1	8.95	9.7	2.1	6.38	7.83

Spectrum 1 {274}	Yes	13.53	17.272	3.22	52.74	8.06	9.54	9.4	2.16	6.41	8.47

Spectrum 1 {275}	Yes	18.029	17.272	3.61	53.29	7.56	9.56	8.91	1.94	6.54	8.59

Spectrum 1 {276}	Yes	22.528	17.272	3.23	53.26	7.41	9.83	8.65	2.17	6.53	8.92

Spectrum 1 {277}	Yes	27.028	17.272	0	54.14	7.49	11.12	8.55	2.34	6.96	9.4

Spectrum 1 {278}	Yes	31.528	17.272	3.04	53.76	6.46	11.11	7.93	1.9	6.37	9.43

Spectrum 1 {279}	Yes	36.03	17.272	4.13	53.04	6.08	11.46	7.61	1.93	6.2	9.54

Spectrum 1 {280}	Yes	40.53	17.272	0	55.66	6.16	12.39	7.19	2.01	6.31	10.29

Spectrum 1 {281}	Yes	45.03	17.272	0	55.58	5.72	12.99	6.63	2.56	6.07	10.46

--	--	-44.959	21.776	--	--	--	--	--	--	--	--

Spectrum 1 {282}	Yes	-40.459	21.776	3.92	52.41	12.58	4.68	14.45	1.85	4.84	5.27

Spectrum 1 {283}	Yes	-35.96	21.776	0	54.34	12.54	5.21	14.95	1.9	5.32	5.75

Spectrum 1 {284}	Yes	-31.461	21.776	3.81	53.42	11.35	5.38	13.75	1.38	5.23	5.69

Spectrum 1 {285}	Yes	-26.961	21.776	4.83	52.23	10.83	5.5	13.65	1.7	5.21	6.04

Spectrum 1 {286}	Yes	-22.461	21.776	3.51	52.94	10.9	5.93	13.29	1.74	5.41	6.28

Spectrum 1 {287}	Yes	-17.96	21.776	3.97	53.02	10.01	6.23	12.84	1.52	5.6	6.8

Spectrum 1 {288}	Yes	-13.46	21.776	3.64	52.95	9.78	6.5	12.57	1.77	5.65	7.14

Spectrum 1 {289}	Yes	-8.959	21.776	3.78	53.06	9.57	6.97	11.89	1.72	5.74	7.28

Spectrum 1 {290}	Yes	-4.459	21.776	3.97	52.48	9.48	7.17	11.47	2.1	5.82	7.51

Spectrum 1 {291}	Yes	0.03	21.776	0	53.61	9.18	8.44	11.73	2.65	6.2	8.2

Spectrum 1 {292}	Yes	4.529	21.776	2.84	53.77	8.59	8.29	10.48	1.83	6.05	8.17

Spectrum 1 {293}	Yes	9.029	21.776	2.85	53.39	8.28	8.68	10.46	1.73	6.19	8.42

Spectrum 1 {294}	Yes	13.529	21.776	3.19	53.49	7.42	9.24	10.2	1.83	6.02	8.61

Spectrum 1 {295}	Yes	18.03	21.776	3.7	53.34	7.06	9.39	9.29	1.94	6.27	9.01

Spectrum 1 {296}	Yes	22.53	21.776	3.88	53.33	6.91	9.77	8.93	1.8	6.12	9.24

Spectrum 1 {297}	Yes	27.03	21.776	3.66	52.99	6.78	10.34	8.44	2.14	6.11	9.54

Spectrum 1 {298}	Yes	31.528	21.776	0	55.45	6.87	10.97	8.22	1.95	6.38	10.15

Spectrum 1 {299}	Yes	36.03	21.776	2.94	53.42	6.26	11.33	7.57	2.24	5.9	10.33

Spectrum 1 {300}	Yes	40.53	21.776	0	55.08	5.78	12.13	7.55	2.59	5.92	10.94

Spectrum 1 {301}	Yes	45.032	21.776	75.29	24.71	0	0	0	0	0	0

--	--	-44.959	26.272	--	--	--	--	--	--	--	--

Spectrum 1 {302}	Yes	-40.457	26.272	3.37	53.18	12.05	4.56	15.42	1.43	4.58	5.42

Spectrum 1 {303}	Yes	-35.962	26.272	0	54.04	12.35	4.92	15.66	2	4.86	6.18

Spectrum 1 {304}	Yes	-31.462	26.272	2.55	53.1	11.81	5.15	14.52	1.75	4.95	6.18

Spectrum 1 {305}	Yes	-26.962	26.272	4.26	52.2	10.76	5.51	14.22	1.93	4.81	6.31

Spectrum 1 {306}	Yes	-22.46	26.272	4.16	52.11	10.49	5.68	14.11	1.97	5.01	6.48

Spectrum 1 {307}	Yes	-17.961	26.272	3.81	52.07	10.27	6.25	13.51	1.96	5.27	6.86

Spectrum 1 {308}	Yes	-13.46	26.272	3.68	51.72	9.94	6.49	13.09	2.33	5.42	7.34

Spectrum 1 {309}	Yes	-8.96	26.272	3.18	53.24	9.28	6.88	12.7	1.72	5.57	7.43

Spectrum 1 {310}	Yes	-4.459	26.272	0	55.1	9.19	7.6	12.59	1.58	5.82	8.13

Spectrum 1 {311}	Yes	0.03	26.272	3.03	52.13	8.56	7.71	11.98	2.56	5.75	8.29

Spectrum 1 {312}	Yes	4.529	26.272	3.4	53	8.33	8.05	11.07	2.07	5.78	8.3

Spectrum 1 {313}	Yes	9.029	26.272	4.93	51.7	7.85	8.21	10.78	2.24	5.71	8.58

Spectrum 1 {314}	Yes	13.529	26.272	3.73	52.47	7.85	8.84	10.06	2.14	5.68	9.22

Spectrum 1 {315}	Yes	18.029	26.272	0	54.87	7.41	9.83	10.34	1.79	6.01	9.75

Spectrum 1 {316}	Yes	22.528	26.272	3.97	53.42	6.88	9.57	9.18	1.75	5.66	9.58

Spectrum 1 {317}	Yes	27.03	26.272	0	55.4	6.73	10.5	9.2	1.91	5.93	10.34

Spectrum 1 {318}	Yes	31.53	26.272	4.21	53.04	6.38	10.43	8.3	1.82	5.61	10.22

Spectrum 1 {319}	Yes	36.028	26.272	4.01	53.67	5.87	10.97	7.87	1.8	5.47	10.32

Spectrum 1 {320}	Yes	40.53	26.272	3.36	53.63	5.6	11.48	7.4	2.44	5.3	10.79

Spectrum 1 {321}	Yes	45.028	26.272	69.85	30.15	0	0	0	0	0	0

--	--	-44.959	30.776	--	--	--	--	--	--	--	--

Spectrum 1 {322}	Yes	-40.459	30.776	83.25	15.95	0	0	0	0.8	0	0

Spectrum 1 {323}	Yes	-35.961	30.776	4.93	51.38	11.41	4.59	15.52	1.78	4.51	5.88

Spectrum 1 {324}	Yes	-31.462	30.776	2.96	52.05	11.37	5.3	15.59	1.89	4.6	6.25

Spectrum 1 {325}	Yes	-26.961	30.776	3.39	52.21	10.66	5.26	15.09	1.87	4.84	6.68

Spectrum 1 {326}	Yes	-22.46	30.776	3.71	51.38	10.11	5.82	15.08	2.08	4.84	6.97

Spectrum 1 {327}	Yes	-17.961	30.776	3.13	52.17	9.91	6	14.48	2.11	5.08	7.12

Spectrum 1 {328}	Yes	-13.461	30.776	2.53	52.33	9.51	6.47	14.01	2.29	5.18	7.68

Spectrum 1 {329}	Yes	-8.959	30.776	2.74	53.69	9.26	6.63	13.15	1.57	5.2	7.77

Spectrum 1 {330}	Yes	-4.458	30.776	3.41	53.05	8.81	7.09	12.62	1.68	5.29	8.04

Spectrum 1 {331}	Yes	0.028	30.776	0	54.46	8.59	7.83	12.63	2.09	5.57	8.82

Spectrum 1 {332}	Yes	4.528	30.776	0	55.13	8.12	7.99	12.2	1.96	5.51	9.09

Spectrum 1 {333}	Yes	9.03	30.776	3.21	53.11	7.63	8.18	11.29	1.99	5.38	9.2

Spectrum 1 {334}	Yes	13.53	30.776	0	55.08	7.59	8.92	11.32	1.88	5.73	9.48

Spectrum 1 {335}	Yes	18.031	30.776	2.7	53.53	6.78	8.98	10.46	1.99	5.55	10.01

Spectrum 1 {336}	Yes	22.531	30.776	3.17	53.83	6.96	9.14	9.55	1.74	5.44	10.17

Spectrum 1 {337}	Yes	27.03	30.776	3.44	53.68	6.36	9.9	9.31	1.64	5.41	10.27

Spectrum 1 {338}	Yes	31.53	30.776	3.27	53.1	5.99	10.36	8.76	2.43	5.3	10.79

Spectrum 1 {339}	Yes	36.03	30.776	3.68	54.56	5.71	10.32	7.94	1.88	5.16	10.76

Spectrum 1 {340}	Yes	40.53	30.776	71.99	28.01	0	0	0	0	0	0

Spectrum 1 {341}	Yes	45.028	30.776	71.4	28.6	0	0	0	0	0	0

--	--	-44.959	35.276	--	--	--	--	--	--	--	--

Spectrum 1 {342}	Yes	-40.459	35.276	75.4	24.6	0	0	0	0	0	0

Spectrum 1 {343}	Yes	-35.961	35.276	84.55	13.92	0	0	1.52	0	0	0

Spectrum 1 {344}	Yes	-31.461	35.276	2.45	53.74	10.37	4.98	15.7	1.79	4.42	6.54

Spectrum 1 {345}	Yes	-26.96	35.276	4.2	51.5	10.38	5.12	15.54	1.98	4.51	6.76

Spectrum 1 {346}	Yes	-22.46	35.276	3.57	52.07	10.05	5.42	15.3	1.83	4.67	7.09

Spectrum 1 {347}	Yes	-17.96	35.276	4.04	52.46	9.49	5.8	14.68	1.54	4.69	7.29

Spectrum 1 {348}	Yes	-13.459	35.276	5.53	51.19	9.28	5.83	14.08	1.78	4.79	7.52

Spectrum 1 {349}	Yes	-8.959	35.276	4	51.74	9.15	6.5	13.87	1.97	4.85	7.92

Spectrum 1 {350}	Yes	-4.459	35.276	2.92	52.61	8.62	6.73	13.33	2.16	5.18	8.45

Spectrum 1 {351}	Yes	0.031	35.276	2.98	53.19	8.14	7.43	12.77	1.73	4.98	8.78

Spectrum 1 {352}	Yes	4.528	35.276	3.84	52.41	7.89	7.59	12.2	2.01	5.11	8.95

Spectrum 1 {353}	Yes	9.03	35.276	0	55.01	7.87	7.8	12.11	1.96	5.42	9.83

Spectrum 1 {354}	Yes	13.53	35.276	0	55.12	7.53	8.59	11.46	1.72	5.36	10.23

Spectrum 1 {355}	Yes	18.03	35.276	3.41	53.59	6.62	8.76	10.43	1.81	5.21	10.18

Spectrum 1 {356}	Yes	22.528	35.276	3.69	52.9	6.74	8.76	10.13	2.07	5.24	10.47

Spectrum 1 {357}	Yes	27.029	35.276	4.07	53.99	5.89	9.49	9.31	1.59	5.13	10.53

Spectrum 1 {358}	Yes	31.531	35.276	2.58	54.36	6.09	9.76	9.04	2.09	5.04	11.05

Spectrum 1 {359}	Yes	36.03	35.276	83.39	12.66	0	0	0	3.95	0	0

Spectrum 1 {360}	Yes	40.53	35.276	79.99	14.02	1.52	0	3.18	1.29	0	0

Spectrum 1 {361}	Yes	45.029	35.276	73.36	25.34	0	0	1.31	0	0	0

--	--	-44.959	39.774	--	--	--	--	--	--	--	--

Spectrum 1 {362}	Yes	-40.458	39.774	76.1	23.9	0	0	0	0	0	0

Spectrum 1 {363}	Yes	-35.962	39.774	76.04	23.96	0	0	0	0	0	0

Spectrum 1 {364}	Yes	-31.461	39.774	84.71	14.56	0	0	0.73	0	0	0

Spectrum 1 {365}	Yes	-26.96	39.774	7.05	59.52	7.54	3.8	11.91	1.75	3.51	4.92

Spectrum 1 {366}	Yes	-22.46	39.774	0	53.54	10.29	5.59	16.61	1.87	4.56	7.54

Spectrum 1 {367}	Yes	-17.96	39.774	3.37	52.13	9.41	5.74	15.52	1.65	4.52	7.66

Spectrum 1 {368}	Yes	-13.46	39.774	3.95	51.53	8.94	6.12	15.12	1.88	4.41	8.05

Spectrum 1 {369}	Yes	-8.96	39.774	3.13	53.26	8.49	6.28	14.34	1.6	4.6	8.29

Spectrum 1 {370}	Yes	-4.458	39.774	3.29	52.45	8.37	6.65	13.81	1.82	4.83	8.79

Spectrum 1 {371}	Yes	0.028	39.774	4.35	52.13	7.92	6.9	13.36	1.74	4.63	8.97

Spectrum 1 {372}	Yes	4.529	39.774	4.42	52.68	7.46	7.28	12.26	1.54	5	9.36

Spectrum 1 {373}	Yes	9.029	39.774	3.64	52.39	7.39	7.6	12.04	2.11	4.88	9.95

Spectrum 1 {374}	Yes	13.53	39.774	4.43	52.87	6.83	7.82	11.46	1.6	4.82	10.16

Spectrum 1 {375}	Yes	18.029	39.774	5.04	52.79	6.69	8.08	10.54	1.8	4.69	10.38

Spectrum 1 {376}	Yes	22.529	39.774	2.79	53.91	6.11	8.88	10.55	1.78	4.82	11.14

Spectrum 1 {377}	Yes	27.029	39.774	4.05	53.75	5.85	9.01	9.68	1.94	4.5	11.22

Spectrum 1 {378}	Yes	31.53	39.774	74.69	25.31	0	0	0	0	0	0

Spectrum 1 {379}	Yes	36.028	39.774	76.4	23.6	0	0	0	0	0	0

Spectrum 1 {380}	Yes	40.529	39.774	83.2	16.8	0	0	0	0	0	0

Spectrum 1 {381}	Yes	45.031	39.774	0	0	0	0	0	0	0	0

--	--	-44.959	44.268	--	--	--	--	--	--	--	--

Spectrum 1 {382}	Yes	-40.457	44.268	93.12	0	0	0	0	6.88	0	0

Spectrum 1 {383}	Yes	-35.962	44.268	72.81	27.19	0	0	0	0	0	0

Spectrum 1 {384}	Yes	-31.462	44.268	72.85	27.15	0	0	0	0	0	0

Spectrum 1 {385}	Yes	-26.961	44.268	69.36	30.64	0	0	0	0	0	0

Spectrum 1 {386}	Yes	-22.46	44.268	0	0	0	0	31.92	68.08	0	0

Spectrum 1 {387}	Yes	-17.961	44.268	4.22	51.27	8.99	5.31	16.01	2.03	4.22	7.95

Spectrum 1 {388}	Yes	-13.459	44.268	2.94	52.62	8.7	5.86	15.8	1.62	4.32	8.15

Spectrum 1 {389}	Yes	-8.959	44.268	2.89	52.52	8.46	6.09	15.34	1.74	4.46	8.5

Spectrum 1 {390}	Yes	-4.459	44.268	3.27	52.37	8.04	6.53	14.36	2	4.34	9.09

Spectrum 1 {391}	Yes	0.03	44.268	4.41	51.72	7.48	6.8	13.75	2.11	4.56	9.16

Spectrum 1 {392}	Yes	4.529	44.268	3.3	53.15	7.39	6.78	13.06	1.79	4.62	9.9

Spectrum 1 {393}	Yes	9.028	44.268	3.33	53.17	7.17	7.2	12.46	1.9	4.66	10.11

Spectrum 1 {394}	Yes	13.529	44.268	3.52	52.89	6.81	7.62	11.91	2.15	4.48	10.62

Spectrum 1 {395}	Yes	18.029	44.268	3.7	53.71	6.41	7.8	11.11	1.83	4.5	10.94

Spectrum 1 {396}	Yes	22.531	44.268	77.35	22.65	0	0	0	0	0	0

Spectrum 1 {397}	Yes	27.028	44.268	72.46	27.54	0	0	0	0	0	0

Spectrum 1 {398}	Yes	31.53	44.268	72.62	27.38	0	0	0	0	0	0

Spectrum 1 {399}	Yes	36.029	44.268	73.49	26.51	0	0	0	0	0	0

Spectrum 1 {400}	Yes	40.528	44.268	0	0	0	0	0	0	0	0

Spectrum 1 {401}	Yes	45.03	44.268	0	0	0	0	0	0	0	0

