x	y
13.320	31.026
17.820	31.026
22.320	31.026
26.818	31.026
31.320	31.026
35.818	31.026
40.318	31.026
44.818	31.026
-45.167	35.525
-40.672	35.525
-36.169	35.525
-31.672	35.525
-27.169	35.525
-22.670	35.525
-18.170	35.525
-13.671	35.525
-9.170	35.525
-4.669	35.525
-0.169	35.525
4.317	35.525
8.819	35.525
13.320	35.525
17.818	35.525
22.318	35.525
26.820	35.525
31.318	35.525
35.819	35.525
40.318	35.525
44.818	35.525
-45.170	40.021
-40.670	40.021
-36.169	40.021
-31.671	40.021
-27.169	40.021
-22.670	40.021
-18.169	40.021
-13.670	40.021
-9.171	40.021
-4.671	40.021
-0.172	40.021
4.318	40.021
8.817	40.021
13.319	40.021
17.817	40.021
22.317	40.021
26.816	40.021
31.316	40.021
35.815	40.021
40.316	40.021
44.816	40.021
-45.166	44.521
-40.672	44.521
-36.171	44.521
-31.672	44.521
-27.171	44.521
-22.669	44.521
-18.171	44.521
-13.670	44.521
-9.170	44.521
-4.670	44.521
-0.171	44.521
4.319	44.521
8.818	44.521
13.319	44.521
17.819	44.521
22.318	44.521
26.819	44.521
31.320	44.521
35.817	44.521
40.319	44.521
44.819	44.521
