;;342;;340
;x;y;x;y
147;0;-4.5;42.75;-6.75
148;4.5;-4.5;47.25;-6.75
149;9;-4.5;-47.25;-2.25
150;13.5;-4.5;-42.75;-2.25
151;18;-4.5;-38.25;-2.25
152;22.5;-4.5;-33.75;-2.25
153;27;-4.5;-29.25;-2.25
154;31.5;-4.5;-24.75;-2.25
155;36;-4.5;-20.25;-2.25
156;40.5;-4.5;-15.75;-2.25
157;45;-4.5;-11.25;-2.25
158;-45;0;-6.75;-2.25
159;-40.5;0;-2.25;-2.25
160;-36;0;2.25;-2.25
161;-31.5;0;6.75;-2.25
162;-27;0;11.25;-2.25
163;-22.5;0;15.75;-2.25
164;-18;0;20.25;-2.25
165;-13.5;0;24.75;-2.25
166;-9;0;29.25;-2.25
167;-4.5;0;33.75;-2.25
168;0;0;38.25;-2.25
169;4.5;0;42.75;-2.25
170;9;0;47.25;-2.25
171;13.5;0;-47.25;2.25
172;18;0;-42.75;2.25
173;22.5;0;-38.25;2.25
174;27;0;-33.75;2.25
175;31.5;0;-29.25;2.25
176;36;0;-24.75;2.25
177;40.5;0;-20.25;2.25
178;45;0;-15.75;2.25
179;-45;4.5;-11.25;2.25
180;-40.5;4.5;-6.75;2.25
181;-36;4.5;-2.25;2.25
182;-31.5;4.5;2.25;2.25
183;-27;4.5;6.75;2.25
184;-22.5;4.5;11.25;2.25
185;-18;4.5;15.75;2.25
186;-13.5;4.5;20.25;2.25
187;-9;4.5;24.75;2.25
188;-4.5;4.5;29.25;2.25
189;0;4.5;33.75;2.25
190;4.5;4.5;38.25;2.25
191;9;4.5;42.75;2.25
192;13.5;4.5;47.25;2.25
193;18;4.5;-47.25;6.75
194;22.5;4.5;-42.75;6.75
195;27;4.5;-38.25;6.75
196;31.5;4.5;-33.75;6.75
197;36;4.5;-29.25;6.75
198;40.5;4.5;-24.75;6.75
199;45;4.5;-20.25;6.75
200;-45;9;-15.75;6.75
201;-40.5;9;-11.25;6.75
202;-36;9;-6.75;6.75
203;-31.5;9;-2.25;6.75
204;-27;9;2.25;6.75
205;-22.5;9;6.75;6.75
206;-18;9;11.25;6.75
207;-13.5;9;15.75;6.75
208;-9;9;20.25;6.75
209;-4.5;9;24.75;6.75
210;0;9;29.25;6.75
211;4.5;9;33.75;6.75
212;9;9;38.25;6.75
213;13.5;9;42.75;6.75
214;18;9;47.25;6.75
215;22.5;9;-42.75;11.25
216;27;9;-38.25;11.25
217;31.5;9;-33.75;11.25
218;36;9;-29.25;11.25
219;40.5;9;-24.75;11.25
220;45;9;-20.25;11.25
221;-45;13.5;-15.75;11.25
222;-40.5;13.5;-11.25;11.25
223;-36;13.5;-6.75;11.25
224;-31.5;13.5;-2.25;11.25
225;-27;13.5;2.25;11.25
226;-22.5;13.5;6.75;11.25
227;-18;13.5;11.25;11.25
228;-13.5;13.5;15.75;11.25
229;-9;13.5;20.25;11.25
230;-4.5;13.5;24.75;11.25
231;0;13.5;29.25;11.25
232;4.5;13.5;33.75;11.25
233;9;13.5;38.25;11.25
234;13.5;13.5;42.75;11.25
235;18;13.5;-42.75;15.75
236;22.5;13.5;-38.25;15.75
237;27;13.5;-33.75;15.75
238;31.5;13.5;-29.25;15.75
239;36;13.5;-24.75;15.75
240;40.5;13.5;-20.25;15.75
241;45;13.5;-15.75;15.75
242;-40.5;18;-11.25;15.75
243;-36;18;-6.75;15.75
244;-31.5;18;-2.25;15.75
245;-27;18;2.25;15.75
246;-22.5;18;6.75;15.75
247;-18;18;11.25;15.75
248;-13.5;18;15.75;15.75
249;-9;18;20.25;15.75
250;-4.5;18;24.75;15.75
251;0;18;29.25;15.75
252;4.5;18;33.75;15.75
253;9;18;38.25;15.75
254;13.5;18;42.75;15.75
255;18;18;-38.25;20.25
256;22.5;18;-33.75;20.25
257;27;18;-29.25;20.25
258;31.5;18;-24.75;20.25
259;36;18;-20.25;20.25
260;40.5;18;-15.75;20.25
261;-40.5;22.5;-11.25;20.25
262;-36;22.5;-6.75;20.25
263;-31.5;22.5;-2.25;20.25
264;-27;22.5;2.25;20.25
265;-22.5;22.5;6.75;20.25
266;-18;22.5;11.25;20.25
267;-13.5;22.5;15.75;20.25
268;-9;22.5;20.25;20.25
269;-4.5;22.5;24.75;20.25
270;0;22.5;29.25;20.25
271;4.5;22.5;33.75;20.25
272;9;22.5;38.25;20.25
273;13.5;22.5;-38.25;24.75
274;18;22.5;-33.75;24.75
275;22.5;22.5;-29.25;24.75
276;27;22.5;-24.75;24.75
277;31.5;22.5;-20.25;24.75
278;36;22.5;-15.75;24.75
279;40.5;22.5;-11.25;24.75
280;-36;27;-6.75;24.75
281;-31.5;27;-2.25;24.75
282;-27;27;2.25;24.75
283;-22.5;27;6.75;24.75
284;-18;27;11.25;24.75
285;-13.5;27;15.75;24.75
286;-9;27;20.25;24.75
287;-4.5;27;24.75;24.75
288;0;27;29.25;24.75
289;4.5;27;33.75;24.75
290;9;27;38.25;24.75
291;13.5;27;-33.75;29.25
292;18;27;-29.25;29.25
293;22.5;27;-24.75;29.25
294;27;27;-20.25;29.25
295;31.5;27;-15.75;29.25
296;36;27;-11.25;29.25
297;-31.5;31.5;-6.75;29.25
298;-27;31.5;-2.25;29.25
299;-22.5;31.5;2.25;29.25
300;-18;31.5;6.75;29.25
301;-13.5;31.5;11.25;29.25
302;-9;31.5;15.75;29.25
303;-4.5;31.5;20.25;29.25
304;0;31.5;24.75;29.25
305;4.5;31.5;29.25;29.25
306;9;31.5;33.75;29.25
307;13.5;31.5;-29.25;33.75
308;18;31.5;-24.75;33.75
309;22.5;31.5;-20.25;33.75
310;27;31.5;-15.75;33.75
311;31.5;31.5;-11.25;33.75
312;-27;36;-6.75;33.75
313;-22.5;36;-2.25;33.75
314;-18;36;2.25;33.75
315;-13.5;36;6.75;33.75
316;-9;36;11.25;33.75
317;-4.5;36;15.75;33.75
318;0;36;20.25;33.75
319;4.5;36;24.75;33.75
320;9;36;29.25;33.75
321;13.5;36;-24.75;38.25
322;18;36;-20.25;38.25
323;22.5;36;-15.75;38.25
324;27;36;-11.25;38.25
325;-22.5;40.5;-6.75;38.25
326;-18;40.5;-2.25;38.25
327;-13.5;40.5;2.25;38.25
328;-9;40.5;6.75;38.25
329;-4.5;40.5;11.25;38.25
330;0;40.5;15.75;38.25
331;4.5;40.5;20.25;38.25
332;9;40.5;24.75;38.25
333;13.5;40.5;-15.75;42.75
334;18;40.5;-11.25;42.75
335;22.5;40.5;-6.75;42.75
336;-13.5;45;-2.25;42.75
337;-9;45;2.25;42.75
338;-4.5;45;6.75;42.75
339;0;45;11.25;42.75
340;4.5;45;15.75;42.75
341;9;45;;
342;13.5;45;;
